al,co,cr,cu,fe,ni
42,19,24,0,9,6
43,19,21,0,10,7
42,24,21,0,7,6
44,19,19,6,7,5
45,17,18,5,9,6
46,17,20,6,6,5
47,16,20,5,6,6
45,18,18,6,8,5
42,22,25,0,5,6
45,17,19,6,8,5
43,18,22,0,11,6
46,15,21,5,8,5
44,18,22,5,5,6
42,21,24,0,6,7
43,19,20,5,7,6
45,16,19,5,10,5
44,17,22,5,6,6
47,20,17,5,5,6
44,17,19,5,10,5
43,19,21,5,6,6
47,21,16,5,6,5
45,17,22,5,5,6
43,20,20,0,11,6
47,18,18,6,6,5
46,20,18,6,5,5
42,20,23,0,8,7
43,17,25,0,10,5
42,21,22,0,8,7
45,17,23,5,5,5
46,19,16,5,9,5
43,19,21,0,12,5
43,17,25,0,9,6
43,22,19,0,10,6
43,19,24,0,6,8
46,15,20,5,9,5
45,16,19,5,9,6
43,20,20,5,6,6
43,22,19,0,11,5
43,22,20,5,5,5
43,18,21,5,7,6
44,18,18,5,10,5
44,20,19,6,6,5
43,17,24,0,10,6
43,18,22,0,10,7
44,21,17,5,8,5
45,18,17,5,10,5
46,17,18,6,8,5
45,18,20,5,5,7
45,19,19,5,5,7
43,18,23,5,6,5
44,21,18,5,6,6
43,22,19,5,6,5
47,15,20,5,8,5
42,22,26,0,5,5
44,17,19,5,9,6
44,18,19,6,8,5
43,20,24,0,5,8
45,21,17,5,6,6
45,17,21,6,6,5
42,20,22,0,10,6
43,19,27,0,6,5
45,18,21,6,5,5
44,18,21,6,6,5
46,16,18,5,10,5
45,19,18,5,6,7
47,18,19,6,5,5
45,16,22,5,6,6
42,20,22,0,11,5
46,17,17,5,10,5
41,22,24,0,8,5
47,19,18,6,5,5
44,16,21,5,8,6
43,20,20,0,10,7
47,17,19,6,6,5
46,16,18,5,9,6
45,15,21,5,9,5
45,16,23,5,6,5
46,20,17,6,6,5
46,19,18,5,5,7
45,18,17,5,9,6
43,17,24,0,11,5
47,17,18,6,7,5
44,20,20,6,5,5
46,17,17,5,9,6
43,20,20,0,12,5
43,18,23,0,8,8
43,18,22,0,12,5
44,18,18,5,9,6
46,15,20,5,8,6
46,18,17,6,8,5
45,15,22,5,8,5
44,16,23,5,7,5
43,17,26,0,9,5
47,18,16,5,9,5
41,23,23,0,8,5
43,20,21,5,5,6
43,20,19,5,7,6
47,15,21,5,7,5
46,17,20,5,5,7
46,15,22,5,7,5
44,16,20,5,10,5
43,22,20,0,7,8
47,19,17,6,6,5
42,20,21,5,7,5
42,19,23,0,10,6
42,22,24,0,5,7
43,20,27,0,5,5
44,19,21,6,5,5
47,19,16,5,7,6
45,21,16,5,8,5
43,17,23,5,7,5
43,18,22,5,6,6
43,17,24,0,9,7
43,26,19,0,7,5
44,17,21,6,7,5
46,16,19,6,8,5
44,19,19,5,6,7
43,18,24,0,7,8
44,22,17,5,7,5
44,20,18,6,7,5
42,23,23,0,5,7
42,20,26,0,6,6
41,22,25,0,7,5
46,22,16,5,6,5
43,23,19,0,8,7
43,18,27,0,7,5
42,19,23,0,11,5
46,19,16,5,8,6
45,16,20,6,8,5
42,21,21,0,11,5
42,21,21,0,10,6
43,23,21,0,5,8
47,15,19,5,9,5
45,20,16,5,9,5
44,16,20,5,9,6
42,19,24,0,8,7
45,21,18,6,5,5
45,15,21,5,8,6
44,19,20,5,5,7
42,19,22,5,7,5
43,22,19,0,9,7
44,17,20,5,7,7
42,22,21,0,8,7
41,24,23,0,7,5
47,17,18,5,6,7
43,17,26,0,8,6
42,20,22,5,6,5
41,22,23,0,9,5
41,21,25,0,8,5
47,18,18,5,5,7
43,17,25,0,8,7
45,17,18,6,9,5
47,20,16,5,6,6
42,25,22,0,5,6
42,23,20,0,10,5
42,19,26,0,7,6
45,17,21,5,5,7
45,17,18,5,8,7
42,25,20,0,8,5
43,21,20,5,5,6
42,20,22,0,9,7
42,26,22,0,5,5
42,21,21,5,6,5
41,21,24,0,9,5
46,17,21,6,5,5
47,16,22,5,5,5
47,16,21,5,5,6
42,26,21,0,6,5
45,20,18,5,5,7
45,15,20,5,10,5
43,17,23,0,11,6
47,18,16,5,8,6
42,25,21,0,6,6
43,21,19,5,6,6
45,19,18,6,6,6
47,17,19,5,5,7
43,17,22,5,7,6
46,15,19,5,10,5
47,15,19,5,8,6
45,19,19,6,5,6
46,15,19,5,9,6
47,16,19,6,7,5
43,18,19,5,10,5
44,17,21,5,6,7
45,15,20,5,9,6
44,21,19,6,5,5
43,19,20,6,7,5
44,19,17,5,10,5
44,18,21,5,5,7
45,16,19,5,8,7
42,20,20,5,8,5
43,22,18,5,7,5
47,17,20,6,5,5
42,21,20,5,7,5
41,24,24,0,6,5
42,21,26,0,5,6
45,18,20,6,5,6
